download_ID,species,decimallongitude,decimallatitude,year
bien_1,Loudetia simplex,24.125,-11.625,1937
bien_2,Loudetia simplex,29.625,-3.375,1982
bien_3,Loudetia simplex,29.875,-3.875,1977
bien_4,Loudetia simplex,34.809317,-19.718926,1943
bien_5,Loudetia simplex,-5.95,11.75,1969
bien_6,Loudetia simplex,30.625,-26.375,1980
bien_7,Loudetia simplex,47.016667,-20.116667,1970
bien_8,Loudetia simplex,28.125,-25.625,1969
bien_9,Loudetia simplex,31.125,-25.875,1962
bien_10,Loudetia simplex,29.125,-24.125,1894
bien_11,Loudetia simplex,31.125,-25.625,1999
bien_12,Loudetia simplex,30.875,-29.625,1991
bien_13,Loudetia simplex,29.375,-30.125,1992
bien_14,Loudetia simplex,46.95,-19.4,1955
bien_15,Loudetia simplex,27.875,-26.125,1982
bien_16,Loudetia simplex,31.125,-25.625,1971
bien_17,Loudetia simplex,27.875,-26.125,1987
bien_18,Loudetia simplex,30.625,-25.875,1984
bien_19,Loudetia simplex,29.375,-23.875,NA
bien_20,Loudetia simplex,30.375,-30.625,1937
bien_21,Loudetia simplex,29.875,-26.625,1912
bien_22,Loudetia simplex,30.375,-22.875,1977
bien_23,Loudetia simplex,29.375,-25.375,1967
bien_24,Loudetia simplex,31.375,-27.375,1980
bien_25,Loudetia simplex,46.6,-21.16667,1955
bien_26,Loudetia simplex,47.516667,-18.916667,1905
bien_27,Loudetia simplex,29.875,-30.875,1937
bien_28,Loudetia simplex,30.875,-24.625,1976
bien_29,Loudetia simplex,28.375,-26.125,1972
bien_30,Loudetia simplex,27.875,-25.875,1971
bien_31,Loudetia simplex,30.875,-25.125,1985
bien_32,Loudetia simplex,30.375,-25.625,1994
bien_33,Loudetia simplex,27.625,-24.375,1942
bien_34,Loudetia simplex,30.875,-25.625,1991
bien_35,Loudetia simplex,27.625,-24.375,1980
bien_36,Loudetia simplex,47.15,-19.55,1962
bien_37,Loudetia simplex,29.375,-28.375,1987
bien_38,Loudetia simplex,46.847778,-21.851389,2010
bien_39,Loudetia simplex,30.625,-25.125,1932
bien_40,Loudetia simplex,30.125,-31.125,1983
bien_41,Loudetia simplex,47.583333,-19.533333,1963
bien_42,Loudetia simplex,29.625,-27.875,1974
bien_43,Loudetia simplex,27.375,-25.875,2005
bien_44,Loudetia simplex,29.875,-24.125,1919
bien_45,Loudetia simplex,33.125,-12.625,1970
bien_46,Loudetia simplex,33.625,-11.625,1975
bien_47,Loudetia simplex,35.625,-15.875,1945
